owner,repo,downstream_cnt,url
Unstructured-IO,unstructured,10053,https://github.com/Unstructured-IO/unstructured
PaddlePaddle,PaddleOCR,4259,https://github.com/PaddlePaddle/PaddleOCR
Layout-Parser,layout-parser,2977,https://github.com/Layout-Parser/layout-parser
openvinotoolkit,openvino,1889,https://github.com/openvinotoolkit/openvino
PaddlePaddle,PaddleHub,1295,https://github.com/PaddlePaddle/PaddleHub
PaddlePaddle,PaddleNLP,1258,https://github.com/PaddlePaddle/PaddleNLP
PaddlePaddle,PaddleSeg,1003,https://github.com/PaddlePaddle/PaddleSeg
jina-ai,serve,535,https://github.com/jina-ai/serve
kserve,kserve,420,https://github.com/kserve/kserve
opencv,opencv,354,https://github.com/opencv/opencv
PaddlePaddle,X2Paddle,276,https://github.com/PaddlePaddle/X2Paddle
mlflow,mlflow,257,https://github.com/mlflow/mlflow
lululxvi,deepxde,161,https://github.com/lululxvi/deepxde
PaddlePaddle,PaddleDetection,137,https://github.com/PaddlePaddle/PaddleDetection
rerun-io,rerun,131,https://github.com/rerun-io/rerun
PaddlePaddle,PaddleSpeech,129,https://github.com/PaddlePaddle/PaddleSpeech
PaddlePaddle,PARL,104,https://github.com/PaddlePaddle/PARL
