repo,topic
AARG-FAN/Image-Vector-for-ComfyUI, 16
NextAudioGen/ultimatevocalremover_api, 16
1038lab/ComfyUI-OmniGen, 16
Ascend/pytorch, 16
BiaPyX/BiaPy, 16
sgl-project/sglang, 10
TorchJD/torchjd, 10
Leeroo-AI/mergoo, 10
opengear-project/GEAR, 10
saprmarks/feature-circuits, 10
dreadnode/dyana, 13
hkust-nlp/CodeIO, 13
CraftJarvis/MineStudio, 13
lucidrains/minGRU-pytorch, 13
lucidrains/nGPT-pytorch, 13
1230young/bizgen, 8
Yuanshi9815/Video-Infinity, 8
mazurowski-lab/segmentation-guided-diffusion, 8
htyjers/StrDiffusion, 8
wenhao728/awesome-diffusion-v2v, 8
fry404006308/fry_course_materials, 0
teddylee777/langserve_ollama, 0
DAMO-NLP-SG/VideoLLaMA2, 0
splunk/DECEIVE, 0
MiscellaneousStuff/anterion, 0
DataScienceUIBK/Rankify, 9
open-mmlab/Amphion, 9
Kedreamix/Linly-Talker, 9
OleehyO/TexTeller, 9
xszyou/Fay, 9
simplescaling/s1, 14
zhuqinfeng1999/Samba, 14
bytedance/flux, 14
aitomatic/semikong, 14
huggingface/jat, 14
prometheus-eval/prometheus-eval, 12
google/aistplusplus_api, 12
NJU-LHRS/LHRS-Bot, 12
tencent-ailab/Leopard, 12
CJReinforce/PURE, 12
astro-informatics/s2fft, 7
OpenBMB/MiniCPM, 7
evolutionaryscale/esm, 7
devalab/DeepPocket, 7
bytedance/Protenix, 7
zsy1987/SA-GS, 2
ML-GSAI/MicroDreamer, 2
btsmart/splatt3r, 2
JeongminB/E-D3DGS, 2
mbzuai-metaverse/VOODOO3D-official, 2
Moemu/Muice-Chatbot, 15
lm-sys/RouteLLM, 15
microsoft/ADBench, 15
wisent-ai/wisent-guard, 15
Event-AHU/OpenPAR, 15
CNChTu/FCPE, 4
Laz4rz/GPT-2, 4
rllm-team/rllm, 4
wandahangFY/YOLO-MIF, 4
naklecha/llama3-from-scratch, 4
quantalogic/quantalogic, 11
sst/sst, 11
microsoft/TypeAgent, 11
ComposioHQ/composio, 11
open-experiments/Telco-AIX, 11
pkjmesra/PKScreener, 5
thomasmol/cog-whisper-diarization, 5
pengzhendong/streaming-sensevoice, 5
alesaccoia/VoiceStreamAI, 5
iceychris/LibreASR, 5
leigest519/HiddenDetect, 6
lmarena/arena-hard-auto, 6
parthsarthi03/raptor, 6
mlc-ai/xgrammar, 6
yihong1120/Construction-Hazard-Detection, 6
sigsep/open-unmix-pytorch, 3
arktrail/Dorothy-Ymir, 1
nyrahealth/CrisperWhisper, 1
TrackingLaboratory/tracklab, 1
Takaaki-Saeki/DiscreteSpeechMetrics, 1
dssg/aequitas, 1
